I,dx,Fx,,,-0.3,-0.2,-0.1,0,0.1,0.2,0.3
0.50000,-0.30000,7.6365,,0.5,,,,,,,
0.50000,-0.20000,9.3138,,1,,,,,,,
0.50000,-0.10000,11710,,2,,,,,,,
0.50000,5.5511E-17,15095,,2.5,,,,,,,
0.50000,0.10000,20290,,3,,,,,,,
0.50000,0.20000,28565,,3.5,,,,,,,
0.50000,0.30000,42936,,4,,,,,,,
1.0000,-0.30000,30056,,,,,,,,,
1.0000,-0.20000,36078,,,,,,,,,
1.0000,-0.10000,44290,,,,,,,,,
1.0000,5.5511E-17,55169,,,,,,,,,
1.0000,0.10000,70299,,,,,,,,,
1.0000,0.20000,91210,,,,,,,,,
1.0000,0.30000,122.78,,,,,,,,,
1.5000,-0.30000,62186,,,,,,,,,
1.5000,-0.20000,73194,,,,,,,,,
1.5000,-0.10000,87794,,,,,,,,,
1.5000,5.5511E-17,106.47,,,,,,,,,
1.5000,0.10000,130.28,,,,,,,,,
1.5000,0.20000,157.20,,,,,,,,,
1.5000,0.30000,191.23,,,,,,,,,
2.0000,-0.30000,100.74,,,,,,,,,
2.0000,-0.20000,115.74,,,,,,,,,
2.0000,-0.10000,133.46,,,,,,,,,
2.0000,5.5511E-17,154.06,,,,,,,,,
2.0000,0.10000,178.89,,,,,,,,,
2.0000,0.20000,208.84,,,,,,,,,
2.0000,0.30000,247.20,,,,,,,,,
2.5000,-0.30000,135.69,,,,,,,,,
2.5000,-0.20000,152.36,,,,,,,,,
2.5000,-0.10000,172.60,,,,,,,,,
2.5000,5.5511E-17,195.61,,,,,,,,,
2.5000,0.10000,224.08,,,,,,,,,
2.5000,0.20000,257.88,,,,,,,,,
2.5000,0.30000,298.99,,,,,,,,,
3.0000,-0.30000,168.25,,,,,,,,,
3.0000,-0.20000,187.22,,,,,,,,,
3.0000,-0.10000,210.33,,,,,,,,,
3.0000,5.5511E-17,235.61,,,,,,,,,
3.0000,0.10000,265.72,,,,,,,,,
3.0000,0.20000,300.01,,,,,,,,,
3.0000,0.30000,340.40,,,,,,,,,
3.5000,-0.30000,199.94,,,,,,,,,
3.5000,-0.20000,220.31,,,,,,,,,
3.5000,-0.10000,244.64,,,,,,,,,
3.5000,5.5511E-17,270.63,,,,,,,,,
3.5000,0.10000,301.00,,,,,,,,,
3.5000,0.20000,334.96,,,,,,,,,
3.5000,0.30000,373.57,,,,,,,,,
4.0000,-0.30000,228.59,,,,,,,,,
4.0000,-0.20000,249.80,,,,,,,,,
4.0000,-0.10000,274.86,,,,,,,,,
4.0000,5.5511E-17,301.20,,,,,,,,,
4.0000,0.10000,330.99,,,,,,,,,
4.0000,0.20000,364.40,,,,,,,,,
4.0000,0.30000,402.67,,,,,,,,,
