imax,dx,F
0,0,0
1,0,55.14383021443709
2,0,153.97104019475609
3,0,235.44468954288396
4,0,300.9719368424247
0,0.1,0
1,0.1,44.295940089219116
2,0.1,133.47825564125904
3,0.1,210.31221657582145
4,0.1,274.9232205862713
0,0.2,0
1,0.2,36.13539382374417
2,0.2,115.89322599472047
3,0.2,187.46812992297296
4,0.2,250.11578002483617
0,0.30000000000000004,0
1,0.30000000000000004,30.10864177354353
2,0.30000000000000004,100.88466974639017
3,0.30000000000000004,168.39090550502706
4,0.30000000000000004,228.8127554751138
0,0.4,0
1,0.4,25.533710994666844
2,0.4,88.03451501893294
3,0.4,152.96834581694878
4,0.4,210.908593516527
