% Model,Passivo:dx.mph
% Version,COMSOL 4.4.0.150
% Date,"Mar 12 2014, 22:27"
% Table,Table 1 - Global Evaluation 1 (mf.Forcex_0)
% dx,"Electromagnetic force, x component (N)"
-0.6,-79.568505687554
-0.5,-85.04412498546222
-0.39999999999999997,-91.47301565719171
-0.29999999999999993,-99.40225489388068
-0.19999999999999996,-107.16917144210514
-0.09999999999999998,-117.02906413164071
1.1102230246251565E-16,-126.48843519906154
0.10000000000000009,-138.47397219071664
0.20000000000000007,-151.82194961691292
0.30000000000000004,-164.53031685451404
0.4,-180.53375554843842
0.5000000000000001,-198.45395671820768
0.6000000000000002,-218.71256114541862
