% Model,Passivo:dz.mph
% Version,COMSOL 4.4.0.150
% Date,"Mar 16 2014, 19:11"
% Table,Table 12 - Global Evaluation 1 (mf.Forcex_0)
% dy,"Electromagnetic force, y component (N)"
0,-4.755118160384988
0.1,-28.407928436244923
0.2,-42.5764826187743
0.30000000000000004,-53.90116699318024
0.4,-67.85797861650327
0.5,-68.6700631218656
0.6000000000000001,-72.76257676909904
0.7000000000000001,-79.47332491762677
0.8,-54.457444577754124
0.9,-96.04765064543807
1,-70.0972591548744
1.1,-91.80846656943322
1.2000000000000002,-102.5045173017864
